duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
26.3,1159,0,1.0,123,0.0,1037,358,7,31593,6167,361,17216,0.0,9352,7,40899,55,0,0,5.0,0.8,20.5,42,5.0,10140,755,1037,3,308,1226970,1.0,0,10542,0,195,0,98,32087,31593,0,65490,0.0,1030,42,0,31.6,48,43,0,369,320,324,0,0,37,https://github.com/calico/basenji.git
12.0,2063,0,1.0,54,0.0,514,37,8,16578,4002,63,6938,0.0,2443,50,30732,252,0,0,5.0,0.3,35.9,28,5.0,2856,231,514,16,390,921960,1.0,0,17212,0,331,0,372,18033,16578,0,57622,0.0,464,28,0,12.1,19,68,0,42,351,71,0,0,32,https://github.com/catalyst-team/catalyst.git
3.4,356,0,1.0,8,0.0,185,25,37,3402,665,37,379,100.0,565,28,6124,255,0,0,5.0,0.3,25.7,0,1.0,448,16,185,1,85,183720,1.0,0,2116,0,116,0,27,3550,3402,0,11238,0.0,157,0,0,5.7,6,38,0,32,51,74,0,0,9,https://github.com/cgre-aachen/gempy.git
0.0,183,0,1.0,0,0.0,20,8,0,1817,506,0,0,0.0,125,2,2805,25,0,0,5.0,0.1,5.8,5,5.0,487,0,20,1,11,84150,1.0,0,173,0,34,0,21,1841,1817,0,3454,0.0,18,5,0,14.9,2,5,0,8,10,0,0,0,4,https://github.com/chuyangliu/snake.git
0.7,547,0,1.0,2,0.0,178,23,36,3315,944,67,50,0.0,786,9,4797,90,0,0,5.0,0.5,18.7,10,5.0,719,2,178,6,46,143910,1.0,0,1106,0,89,0,96,3433,3315,0,7235,0.0,169,10,0,10.6,7,2,0,22,44,103,0,0,0,https://github.com/Ciphey/Ciphey.git
3.6,2716,0,1.0,22,0.0,342,157,54,22444,6099,69,2145,0.0,2407,9,37602,65,0,0,5.0,0.2,27.5,24,5.0,5959,84,342,5,57,1128060,1.0,0,14296,0,181,0,311,24217,22444,0,60029,0.0,333,24,0,33.7,7,11,0,157,54,122,0,0,7,https://github.com/cisco/mindmeld.git
6.0,142,0,1.0,4,0.0,76,11,0,2272,431,44,210,0.0,360,3,2658,9,0,0,4.0,0.5,8.9,4,5.0,494,12,76,0,21,79740,1.0,0,260,0,25,0,21,2295,2272,0,3521,0.0,73,4,0,17.2,3,6,0,12,17,44,0,0,4,https://github.com/ClementPinard/SfmLearner-Pytorch.git
54.2,2835,0,1.0,146,0.0,1033,459,21,40536,10734,82,51185,0.0,11051,13,64369,73,0,0,5.0,0.6,20.7,25,5.0,14505,1285,1033,3,468,1931070,1.0,0,16762,0,196,0,431,42435,40536,0,94454,0.0,1020,25,0,54.8,107,22,0,461,457,102,0,0,10,https://github.com/CLUEbenchmark/CLUE.git
0.2,761,30,1.0,2,0.0,460,84,0,10749,2274,166,46,0.0,3877,5,14269,60,0,0,5.0,0.9,13.6,31,5.0,2906,4,460,6,204,428070,5.0,0,2244,0,122,0,190,10801,10749,0,19833,0.0,454,31,1,18.6,5,37,0,87,201,166,1,0,34,https://github.com/cmu-db/ottertune.git
0.4,3037,65,1.0,15,0.0,1975,261,233,36888,9568,767,301,0.0,15541,33,54157,229,0,0,5.0,1.0,11.3,109,5.0,11631,18,1975,29,685,1624710,4.0,0,6872,0,547,0,516,37279,36888,0,72680,0.0,1939,109,3,17.5,24,34,0,281,658,1000,1,2,9,https://github.com/commaai/openpilot.git
